EconomicIndicatorId,ObsDate,Value
64888099570,7/1/2015,387483.5
64888099570,10/1/2015,452530.1
64888099570,1/1/2016,385852.2
64888099570,4/1/2016,395756.7
64888099570,7/1/2016,398493.4
64888099570,10/1/2016,462801
64888099570,1/1/2017,403831.7
64888099570,4/1/2017,416592.6
64888099570,7/1/2017,427536.3
64888099570,10/1/2017,495329.9
64888099570,1/1/2018,425935.9
65340456323,1/1/2002,56267.2
65340456323,4/1/2002,63808.4
65340456323,7/1/2002,68705
65340456323,10/1/2002,71964.6
65340456323,1/1/2003,67273.9
65340456323,4/1/2003,72444.7
65340456323,7/1/2003,79585.3
65340456323,10/1/2003,85620.4
65340456323,1/1/2004,77250.7
65340456323,4/1/2004,92634.5
65340456323,7/1/2004,88101.4
65340456323,10/1/2004,86764.2
65340456323,1/1/2005,77054
65340456323,4/1/2005,88610.3
65340456323,7/1/2005,90858.3
65340456323,10/1/2005,96730.8
65340456323,1/1/2006,94961.7
65340456323,4/1/2006,104780.3
65340456323,7/1/2006,109932.3
65340456323,10/1/2006,117478.6
65340456323,1/1/2007,117018.8
65340456323,4/1/2007,122229.5
65340456323,7/1/2007,127171.9
65340456323,10/1/2007,133530.5
65340456323,1/1/2008,134470.2
65340456323,4/1/2008,139492.8
65340456323,7/1/2008,139699
65340456323,10/1/2008,138028.7
65340456323,1/1/2009,126460.5
65340456323,4/1/2009,128133.9
65340456323,7/1/2009,131441.9
65340456323,10/1/2009,135971.6
65340456323,1/1/2010,133986.6
65340456323,4/1/2010,150751.6
65340456323,7/1/2010,158710.2
65340456323,10/1/2010,164345.4
65340456323,1/1/2011,158995.3
65340456323,4/1/2011,171195.6
65340456323,7/1/2011,176550.1
65340456323,10/1/2011,190802
65340456323,1/1/2012,182193.3
65340456323,4/1/2012,182108.8
65340456323,7/1/2012,180049.4
65340456323,10/1/2012,186997.6
65340456323,1/1/2013,175796.8
65340456323,4/1/2013,177725.6
65340456323,7/1/2013,190159.7
65340456323,10/1/2013,191516.4
65340456323,1/1/2014,190313.3
65340456323,4/1/2014,194580.5
65340456323,7/1/2014,198850.6
65340456323,10/1/2014,209855.6
65340456323,1/1/2015,198949.9
65340456323,4/1/2015,204005.9
65340456323,7/1/2015,212232.1
65340456323,10/1/2015,220206.5
65340456323,1/1/2016,212239.7
65340456323,4/1/2016,221427.7
65340456323,7/1/2016,224708.7
65340456323,10/1/2016,237900.7
65340456323,1/1/2017,243436.4
65340456323,4/1/2017,242129.5
65340456323,7/1/2017,243135.9
65340456323,10/1/2017,260575
65340456323,1/1/2018,252128.8
64451217763,1/1/2002,189432.4
64451217763,4/1/2002,198065
64451217763,7/1/2002,200614.4
64451217763,10/1/2002,222505
64451217763,1/1/2003,194477.3
64451217763,4/1/2003,207393.5
64451217763,7/1/2003,208549.9
64451217763,10/1/2003,235509.3
64451217763,1/1/2004,214096.2
64451217763,4/1/2004,225401.5
64451217763,7/1/2004,228740.2
64451217763,10/1/2004,259068.3
64451217763,1/1/2005,228986.4
64451217763,4/1/2005,237306.1
64451217763,7/1/2005,241777.7
64451217763,10/1/2005,276848.7
64451217763,1/1/2006,244581.9
64451217763,4/1/2006,254724.5
64451217763,7/1/2006,262350.5
64451217763,10/1/2006,303552.2
64451217763,1/1/2007,272329.1
64451217763,4/1/2007,284635.2
64451217763,7/1/2007,292692.2
64451217763,10/1/2007,337116.6
64451217763,1/1/2008,300664.7
64451217763,4/1/2008,310786.1
64451217763,7/1/2008,313623.2
64451217763,10/1/2008,352247.9
64451217763,1/1/2009,319039.9
64451217763,4/1/2009,328122.2
64451217763,7/1/2009,335218.7
64451217763,10/1/2009,379469.1
64451217763,1/1/2010,331667.5
64451217763,4/1/2010,349664.9
64451217763,7/1/2010,357076.3
64451217763,10/1/2010,406888.2
64451217763,1/1/2011,359718.5
64451217763,4/1/2011,377668.7
